what,kind,bundleId,bundleVersion,description,time
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1460909554599
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460909554701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460909555283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460909608754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460909644807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460909664475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1460909670366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460909674957
started,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1460909680122
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1460909681530
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1460909683571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460909692934
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460909714683
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1460909714923
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460909756509
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460909784744
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1460909789770
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1460909797154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460909804450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460909826937
