what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366106147
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1467366106278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366107423
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366117817
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1467366122014
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1467366122370
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1467366123298
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366129634
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366134491
activated,view,com.google.eclipse.elt.view,1.1.2.201411270007,"com.google.eclipse.terminal.local.localTerminalView",1467366146307
activated,view,com.google.eclipse.elt.view,1.1.2.201411270007,"com.google.eclipse.terminal.local.localTerminalView",1467366168545
activated,view,com.google.eclipse.elt.view,1.1.2.201411270007,"com.google.eclipse.terminal.local.localTerminalView",1467366172932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366178542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366182252
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366182598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366183200
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366183411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366301223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366301714
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366411179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366417554
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366450945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366452713
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366506724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366516846
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366524193
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1467366531051
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1467366532910
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1467366534059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1467366536569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366553838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366553980
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1467366563069
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1467366563879
activated,view,com.google.eclipse.elt.view,1.1.2.201411270007,"com.google.eclipse.terminal.local.localTerminalView",1467366578018
activated,view,com.google.eclipse.elt.view,1.1.2.201411270007,"com.google.eclipse.terminal.local.localTerminalView",1467366583006
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1467366681599
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366681852
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467366969873
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1467367054970
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1467367056609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467367057191
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467367367726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467367744507
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467367756666
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1467367763531
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1467367763672
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1467367780590
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1467367815428
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1467367816810
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1467367829411
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1467367844770
