what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461488789587
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1461488794043
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1461488794109
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1461488795821
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1461488797354
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.MemoryView",1461488798552
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461488825960
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1461488827238
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.MemoryView",1461488831278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461488833364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461488835819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461488839868
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461488841025
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461488841916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461488843282
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461488848888
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1461488849895
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.MemoryView",1461488851220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461488851295
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1461488851521
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461488852551
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461488893406
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1461488893996
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461488902550
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1461488911565
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1461488911570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461488911606
