what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461327805998
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1461327828249
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461327828680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461327829134
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461327835634
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461327840945
activated,perspective,cdac.linkplus.plugins.common,1.0.0.201411270007,"cdac.linkplus.plugins.LinkPerspective.LinkPlus",1461327845031
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1461327848033
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461327848132
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461327848261
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1461327848331
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461327849451
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461327859340
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461327861244
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461327866232
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1461327866310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461327866343
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1461327868431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461327872646
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461327886939
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461327886979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461327890294
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.debug",1461327890369
