what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Oracle Corporation",1461331613063
java.vm.version,sysinfo,,,"25.77-b03",1461331613063
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1461331613883
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461331613909
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461331613910
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461331613918
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461331613919
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1461331620411
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461331622269
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1461331628641
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1461331628641
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461331628655
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1461331628820
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461331631506
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1461331635721
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461331635722
started,bundle,cdac.linkplus.plugins.devicedriverdevelopment,1.0.0.201411270007,"cdac.linkplus.plugins.devicedriverdevelopment",1461331641106
started,bundle,cdac.linkplus.plugins.LinK.Kernel,1.0.0.201411270007,"cdac.linkplus.plugins.LinK.Kernel",1461331641109
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1461331641174
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1461331641180
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461331644632
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1461331644678
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1461331644685
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461331644687
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1461331644702
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461331647880
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1461331654252
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1461331654252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461331654281
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461331657265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1461331694480
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461331700481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461331700614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461331701164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461331702369
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461331704739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461331707133
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1461331712600
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461331713050
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1461331713263
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461331713734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461331715702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461331737539
