what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1461326441577
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1461326445222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1461326468093
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1461326524905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326560790
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326647902
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1461326647983
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461326648308
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1461326673318
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461326673402
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461326673443
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1461326673456
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1461326693326
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1461326725905
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1461326726254
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326726263
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1461326726366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326728532
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1461326731363
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.gotoLastEditPosition",1461326732485
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1461326734250
started,bundle,cdac.linkplus.plugins.devicedriverdevelopment,1.0.0.201411270007,"cdac.linkplus.plugins.devicedriverdevelopment",1461326755987
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1461326756038
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326760150
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326760299
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326760326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326760858
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1461326762548
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1461326765361
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1461326766801
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1461326783272
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1461326787857
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1461326790688
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1461326804697
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1461326806361
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1461326812871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1461326827831
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1461326828374
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1461326829502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326847260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326847395
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326850188
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326858959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326862526
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326864168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326866024
started,bundle,cdac.linkplus.plugins.devicedriverdevelopment.quickAssist,1.0.0.201411270007,"cdac.linkplus.plugins.devicedriverdevelopment.quickAssist",1461326867188
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1461326867243
stopped,bundle,cdac.linkplus.platform,1.0.0.201411270007,"cdac.linkplus.platform",1461326867529
stopped,bundle,cdac.linkplus.plugins.LinK.CDTProject,1.0.0.201411270007,"cdac.linkplus.plugins.LinK.CDTProject",1461326867530
stopped,bundle,cdac.linkplus.plugins.LinK.Kernel,1.0.0.201411270007,"cdac.linkplus.plugins.LinK.Kernel",1461326867531
stopped,bundle,cdac.linkplus.plugins.LinK.Kernel.HelpProjectCreation,1.0.0.201411270007,"cdac.linkplus.plugins.LinK.Kernel.HelpProjectCreation",1461326867532
stopped,bundle,cdac.linkplus.plugins.LinK.Kernel.KernelProjectCreation,1.0.0.201411270007,"cdac.linkplus.plugins.LinK.Kernel.KernelProjectCreation",1461326867533
stopped,bundle,cdac.linkplus.plugins.LinK.Kernel.PreferencePages,1.0.0.201411270007,"cdac.linkplus.plugins.LinK.Kernel.PreferencePages",1461326867534
stopped,bundle,cdac.linkplus.plugins.LinK.Kernel.Views,1.0.0.201411270007,"cdac.linkplus.plugins.LinK.Kernel.Views",1461326867536
stopped,bundle,cdac.linkplus.plugins.LinK.Kernel.resources,1.0.0.201411270007,"cdac.linkplus.plugins.LinK.Kernel.resources",1461326867537
stopped,bundle,cdac.linkplus.plugins.devicedriverdevelopment.example,1.0.0.201411270007,"cdac.linkplus.plugins.devicedriverdevelopment.example",1461326867537
stopped,bundle,cdac.linkplus.plugins.devicedriverdevelopment.quickAssist,1.0.0.201411270007,"cdac.linkplus.plugins.devicedriverdevelopment.quickAssist",1461326867537
stopped,bundle,cdac.linkplus.plugins.devicedriverdevelopment.templates,1.0.0.201411270007,"cdac.linkplus.plugins.devicedriverdevelopment.templates",1461326867538
stopped,bundle,cdac.linkplus.plugins.devicedriverdevelopment,1.0.0.201411270007,"cdac.linkplus.plugins.devicedriverdevelopment",1461326867538
stopped,bundle,cdac.linkplus.plugins.common,1.0.0.201411270007,"cdac.linkplus.plugins.common",1461326867538
stopped,bundle,com.google.eclipse.elt.view,1.1.2.201411270007,"com.google.eclipse.elt.view",1461326867539
stopped,bundle,com.google.eclipse.elt.emulator,1.1.2.201411270007,"com.google.eclipse.elt.emulator",1461326867539
stopped,bundle,com.google.eclipse.elt.pty,1.1.2.201411270007,"com.google.eclipse.elt.pty",1461326867540
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1461326867541
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1461326867542
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1461326867543
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1461326867544
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1461326867545
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1461326867547
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1461326867549
